_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
24901,ET,80,Jan-11,Jan,2011
24902,NY,136,Jan-11,Jan,2011
24903,SC,159,Jan-11,Jan,2011
24904,TO,367,Jan-11,Jan,2011
24905,ET,109,Feb-11,Feb,2011
24906,NY,150,Feb-11,Feb,2011
24907,SC,154,Feb-11,Feb,2011
24908,TO,383,Feb-11,Feb,2011
24909,ET,177,Mar-11,Mar,2011
24910,NY,231,Mar-11,Mar,2011
24911,SC,213,Mar-11,Mar,2011
24912,TO,589,Mar-11,Mar,2011
24913,ET,178,Apr-11,Apr,2011
24914,NY,277,Apr-11,Apr,2011
24915,SC,261,Apr-11,Apr,2011
24916,TO,660,Apr-11,Apr,2011
24917,ET,263,May-11,May,2011
24918,NY,376,May-11,May,2011
24919,SC,375,May-11,May,2011
24920,TO,871,May-11,May,2011
24921,ET,255,Jun-11,Jun,2011
24922,NY,365,Jun-11,Jun,2011
24923,SC,334,Jun-11,Jun,2011
24924,TO,870,Jun-11,Jun,2011
24925,ET,238,Jul-11,Jul,2011
24926,NY,364,Jul-11,Jul,2011
24927,SC,352,Jul-11,Jul,2011
24928,TO,989,Jul-11,Jul,2011
24929,ET,257,Aug-11,Aug,2011
24930,NY,366,Aug-11,Aug,2011
24931,SC,345,Aug-11,Aug,2011
24932,TO,965,Aug-11,Aug,2011
24933,ET,152,Sep-11,Sep,2011
24934,NY,255,Sep-11,Sep,2011
24935,SC,276,Sep-11,Sep,2011
24936,TO,638,Sep-11,Sep,2011
24937,ET,126,Oct-11,Oct,2011
24938,NY,201,Oct-11,Oct,2011
24939,SC,218,Oct-11,Oct,2011
24940,TO,468,Oct-11,Oct,2011
24941,ET,103,Nov-11,Nov,2011
24942,NY,191,Nov-11,Nov,2011
24943,SC,182,Nov-11,Nov,2011
24944,TO,340,Nov-11,Nov,2011
24945,ET,109,Dec-11,Dec,2011
24946,NY,171,Dec-11,Dec,2011
24947,SC,149,Dec-11,Dec,2011
24948,TO,356,Dec-11,Dec,2011
24949,ET,115,Jan-12,Jan,2012
24950,NY,176,Jan-12,Jan,2012
24951,SC,171,Jan-12,Jan,2012
24952,TO,440,Jan-12,Jan,2012
24953,ET,134,Feb-12,Feb,2012
24954,NY,195,Feb-12,Feb,2012
24955,SC,160,Feb-12,Feb,2012
24956,TO,390,Feb-12,Feb,2012
24957,ET,183,Mar-12,Mar,2012
24958,NY,234,Mar-12,Mar,2012
24959,SC,243,Mar-12,Mar,2012
24960,TO,567,Mar-12,Mar,2012
24961,ET,194,Apr-12,Apr,2012
24962,NY,225,Apr-12,Apr,2012
24963,SC,252,Apr-12,Apr,2012
24964,TO,561,Apr-12,Apr,2012
24965,ET,217,May-12,May,2012
24966,NY,294,May-12,May,2012
24967,SC,332,May-12,May,2012
24968,TO,807,May-12,May,2012
24969,ET,262,Jun-12,Jun,2012
24970,NY,353,Jun-12,Jun,2012
24971,SC,340,Jun-12,Jun,2012
